Arabic Lemma,Arabic Definition,English Lemma or Gap,English Definition
عاشوراء," نوع من الحلوى يتخذ من قشور القمح واللبن والزبيب. يعد طبق عاشوراء من الأطباق الشعبية في العديد من الدول الإسلامية، حيث يتم تناوله في يوم عاشوراء، الذي يوافق يوم العاشر من محرم.",GAP,
سحلب بالمكسرات,"هو السحلب الذي يضاف إليه المكسرات، مثل اللوز أو الفستق الحلبي أو الكاجو.",GAP,
سخينة, طعام يتخذ من الدقيق دون العصيدة في الرقة وفوق الحساء.,GAP,
سحلب بالكريمة,"هو السحلب الذي يضاف إليه الكريمة، مما يجعله أكثر ثراء.",GAP,
زرب," هو طبق عربي تقليدي، وهو عبارة عن لحم مشوي في حفرة تحت الأرض، يقدم مع الأرز والخضروات.",GAP,
مسخن,"هو طبق فلسطيني تقليدي، وهو عبارة عن دجاج مشوي على الجمر، يقدم مع خبز الطابون، والسماق، والفلفل الحار، وزيت الزيتون، والصنوبر.",GAP,
زرب دجاج,"هو طبق عربي شائع، وهو عبارة عن دجاج مشوي على الجمر داخل حفرة تحت الأرض. يعد الزرب من الأطباق التقليدية في العديد من البلدان العربية، وخاصة في بلاد الشام.",GAP,
زرب خاروف,"طبق تقليدي يُعد في بعض البلدان العربية، خاصة في المناطق الريفية والبدوية. يتكون من لحم الخروف الذي يتم طهيه بطريقة خاصة داخل حفرة في الأرض تُسمى ""الزرب"".",GAP,
سكر عنب,"سكر بلوري عديم اللون حلو المذاق يذوب في الماء، ويوجد في العنب والفواكه وعسل النحل",GAP,
سكر شعير,"نوع من السكر يمكن الحصول عليه من النشا، وهو أقل حلاوة من سكر القصب","barley-sugar, barley_candy", a brittle transparent candy made by melting and cooling cane sugar 
سكر فاكهة,"سكر بلوري أبيض حلو الطعم، يوجد في الفاكهة الناضجة ورحيق الأزهار وعسل النحل",fructose,"a natural sugar found in fruits, honey, and some vegetables."
سكر نبات,حلوى شفافة تصنع بغلي السكر مع إضافة خلاصة الشعير,lump_sugar, refined sugar molded into rectangular shapes convenient as single servings 
سلجم,"جنس نبات حولي من الفصيلة الصليبية يشبه الكرنب واللفت، يزرع علفا للماشية، يستخرج من بذوره زيت يصلح للأكل وللاستصباح، أما الباقي فيستعمل علفا للماشية",GAP,
سلاطة,"سلطة،  طعام يعمل من الخضر المقطعة غير المطبوخة أو اللبن المخيض، أو الطحينة بعد إضافة الخل أو الليمون والملح.","salad_green, salad_greens", greens suitable for eating uncooked as in salads 
سليقة,ما سلق من البقول ونحوها,GAP,
سميكاء,"الحساس؛ سمك صغير يصل طوله إلى عشرة سنتيمترات جسمه أسطواني فضي اللون إلى خضرة، يعيش في البحر الأحمر والبحرين والمحيط الهندي، يؤكل مجففا",GAP,
سوفليه شوكولاتة,"هو السوفليه الأكثر شيوعا، ويحضر باستخدام الشوكولاتة أو الكاكاو.",GAP,
سوفليه,"هو طبق حلوى أو طعام خفيف يحضر بخفق البيض والسكر والمكونات الأخرى معا حتى يصبح قوامها كثيفا ومتماسكا، ثم يتم خبزها في الفرن حتى تنضج.",souffle, light fluffy dish of egg yolks and stiffly beaten egg whites mixed with e.g. cheese or fish or fruit 
سوفليه فواكه,"هو السوفليه الذي يحضر باستخدام الفواكه، مثل الفراولة أو التوت أو المشمش.",GAP,
سيبيا," جنس حيوان من الرخويات، منه أنواع تعيش في شواطئ البحار المعتدلة الحرارة، يتخذ غذاء، يسمى (الحبار) بالعامية",GAP,
شاي باللبن عادي,هو الشاي باللبن الذي يتم تحضيره باستخدام الشاي الأسود أو الأخضر أو الأبيض والحليب كامل الدسم أو الحليب خالي الدسم.,GAP,
سوفليه كريمة,هو السوفليه الذي يحضر باستخدام الكريمة.,GAP,
شاي باللبن,"هو مشروب ساخن يحضر من مزيج الشاي والحليب. يعد الشاي باللبن من المشروبات الشعبية في العديد من البلدان حول العالم، وخاصة في الصين والهند وباكستان ودول الشرق الأوسط.",GAP,
سوفليه مكسرات,"هو السوفليه الذي يحضر باستخدام المكسرات، مثل اللوز أو الفستق الحلبي أو الكاجو.",GAP,
شاي باللبن بالهيل,هو الشاي باللبن الذي يتم إضافة الهيل إليه.,GAP,
شاي باللبن بالنعناع,هو الشاي باللبن الذي يتم إضافة النعناع إليه.,GAP,
شاي باللبن بالزعتر,هو الشاي باللبن الذي يتم إضافة الزعتر إليه.,GAP,
مشبك,"نوع من الحلوى على هيئة أنابيب متشابكة تصنع من الدقيق وتقلى في الزيت, ثم يضاف إليها السكر المعقد",GAP,
مشبك عادي,"هو المشبك الذي يتم تحضيره باستخدام المكونات الأساسية الدقيق، و البيض ، والقطر، والماء.",GAP,
حفلة شاي,استقبال مسائي اجتماعي يقدم فيه الشاي والمرطبات,"tea, afternoon_tea, teatime", a light midafternoon meal of tea and sandwiches or cakes 
كيس شاي,كيس مسامي صغير يتضمن أوراق شاي ينقع في الماء الساخن,tea_bag, a measured amount of tea in a bag for an individual serving of tea 
مشبك بالجوز,هو المشبك الذي يتم إضافة الجوز إليه.,GAP,
مشبك بالفستق حلبي,هو المشبك الذي يتم إضافة الفستق الحلبي إليه.,GAP,
شحم,"مادة دهنية بيضاء صلبة سهلة الذوبان مسمنة تكون في جسم الإنسان والحيوان, القطعة منه (شحمة)",GAP,
مشبك بالشيكولاتة,هو المشبك الذي يتم إضافة الشيكولاتة إليه.,GAP,
غريضة, ما يجنى من الحبوب قبل نضجها كالفريك من القمح والشعير.,GAP,
غلاف ثمرة خارجي,  ما نسميه القشرة في مثل ثمار التفاح والخوخ والكرز.,GAP,
غرغر,"نوع من الدجاج البري موطنه إفريقية، وهو ربع الجثة، دقيق العنق، صغير الرأس، حاد الطرف، قصير الجناحين والذنب، قوته الحبوب والثمار وبعض الحشرات، لحمه مرغوب فيه.",Guineafowl,"medium-sized birds native to Africa, known for their spotted feathers and chicken-like appearance."
ورق غار," شجر دائم الخضرة ينمو في حوض البحر المتوسط يصلح للتزيين، أزهاره صغيرة القد وثماره زيتونية الشكل والحجم، زرقاء اللون يستخرج منها زيت فاخر الصنف يدخل في صناعة الطيوب و أوراقة تستخدم كنكهة طعام",bay_leaf, dried leaf of the bay laurel 
غاف,"نبات شجري معمر من الفصيلة القرنية، يوجد في بلاد العرب وأفغانستان وإيران والهند، أوراقه مركبة ريشية، فروعه كثيرة الشوك، وثمره قرن مستقيم أملس، حلو الطعم",GAP,
مفتقة, أخلاط من عقاقير ومطحون بذور نباتات معينة تعقد بالزيت والعسل وتؤكل للتسمين,GAP,
فالوذج أو فالوذ," حلوى هلامية رجراجة، تصنع من النشا والماء والسكر أو العسل ومواد أخرى",GAP,
مفروكة," طعام لأهل الريف بمصر يتخذ من فطير الذرة ونحوها يفرك ويغطى بالحليب والزبد"".",GAP,
فسيخ, نوع من السمك المملح يترك حتى يتحلل بتأثير الجراثيم,GAP,
