English lemmas,English Definition,Arabic  lemmas or Gap,Arabic Definition
consomme, clear soup usually of beef or veal or chicken ,GAP,
"cock-a-leekie, cocky-leeky", soup made from chicken boiled with leeks ,GAP,
madrilene, a tomato-flavored consomme; often served chilled ,GAP,
eggdrop_soup, made by stirring beaten eggs into a simmering broth ,GAP,
gazpacho, a soup made with chopped tomatoes and onions and cucumbers and peppers and herbs; served cold ,GAP,
gumbo, long mucilaginous green pods; may be simmered or sauteed but used especially in soups and stews ,GAP,
"green_pea_soup, potage_st._germain", made of fresh green peas and stock with shredded lettuce onion and celery ,GAP,
julienne, a vegetable cut into thin strips (usually used as a garnish) ,GAP,
marmite, soup cooked in a large pot ,GAP,
lentil_soup, made of stock and lentils with onions carrots and celery ,شوربة عدس,"نوع من الشوربة التي تتكون من العدس والمرق والخضروات. شوربة العدس هي شوربة نباتية تقليدية في العديد من البلدان. أمثلة: شوربة العدس باللحم، شوربة العدس بالدجاج، شوربة العدس بالخضروات"
mock_turtle_soup, soup made from a calf's head or other meat in imitation of green turtle soup ,GAP,
oxtail_soup, a soup made from the skinned tail of an ox ,GAP,
mulligatawny, a soup of eastern India that is flavored with curry; prepared with a meat or chicken base ,GAP,
english_muffin," round, raised muffin cooked on a griddle; usually split and toasted before being eaten ",GAP,
flatbrod, the thin wafer-like bread of Scandinavia ,خبز تورتيلا,هو نوع من الخبز الرقيق الذي يتم صنعه من الطحين والماء والملح. يتميز خبز التورتيلا بطعمه الخفيف وسهولة تناوله.
graham_bread, bread made of graham (whole wheat) flour ,خبز أسمر,"خبز المصنوع من دقيق الحبوب الكاملة كمكون أساسي، عادة القمح، وأحيانا من مكونات ذات ألوان داكنة مثل دبس السكر أو القهوة."
"chapatti, chapati", flat pancake-like bread cooked on a griddle ,خبز صاج أو خبز شراك,"وهو نوع من أنوع الخبز الذي انتشر في البلاد العربية والإسلامية خلال حقبة حكم الدولة العثمانية، حيث يخبز الدقيق مع الماء والملح. يتم رق العجين على شكل دائري كبير، قد يصل قطره إلى أكثر من متر، ويتكون من طبقة واحدة رقيقة، ثم يخبز على قطعة معدنية كبيرة ساخنة تسمى الصاج، يتميز بسهولة هضمه ولذة مذاقه."
bannock, a flat bread made of oat or barley flour; common in New England and Scotland ,GAP,
flatbread, any of various breads made from usually unleavened dough ,GAP,
garlic_bread, French or Italian bread sliced and spread with garlic butter then crisped in the oven ,GAP,
french_loaf, a loaf of French bread ,GAP,
gluten_bread, bread made with gluten flour ,GAP,
"loaf_of_bread, loaf", a shaped mass of baked bread that is usually sliced before eating ,GAP,
"pita, pocket_bread", usually small round bread that can open into a pocket for filling ,خبز كماج,"خبز مسطح ملفوف، لا داخل خبز على شكل جيب .منتشر في في أقطار مختلفة – بينها فلسطين، سوريا، لبنان، والأردن . توضع فيه مأكولات محلية تباع في الشوارع مثل الفلافل والشاورما"
"meat_loaf, meatloaf", a baked loaf of ground meat ,GAP,
salmon_loaf, fish loaf made with flaked salmon ,GAP,
fish_loaf, flaked fish baked in a loaf with bread crumbs and various seasonings ,GAP,
"nan, naan", leavened bread baked in a clay oven in India; usually shaped like a teardrop ,GAP,
"matzo, matzoh, matzah, unleavened_bread", brittle flat bread eaten at Passover ,GAP,
quick_bread, breads made with a leavening agent that permits immediate baking ,GAP,
onion_bread, bread containing finely minced onions ,GAP,
biscuit, any of various small flat sweet cakes (`biscuit' is the British term) ,بسكويت,"نوع من المخبوزات الجافة والمقرمشة، يكون عادةً حلو المذاق ."
banana_bread, moist bread containing banana pulp ,GAP,
baking-powder_biscuit, leavened with baking powder ,GAP,
drop_biscuit, biscuit made from dough with enough milk that it can be dropped from a spoon ,GAP,
"buttermilk_biscuit, soda_biscuit", very tender biscuit partially leavened with buttermilk and soda ,GAP,
shortcake, very short biscuit dough baked as individual biscuits or a round loaf; served with sweetened fruit and usually whipped cream ,GAP,
rolled_biscuit, biscuit made from dough rolled and cut ,GAP,
cornbread, bread made primarily of cornmeal ,GAP,
"ashcake, ash_cake, corn_tash", corn bread wrapped in cabbage leaves and baked in hot ashes (southern) ,GAP,
"hardtack, pilot_biscuit, pilot_bread, sea_biscuit, ship_biscuit", very hard unsalted biscuit or bread; a former ship's staple ,GAP,
corn_cake, baked in a pan or on a griddle (southern and midland) ,GAP,
"corn_dab, corn_dodger, dodger", small oval cake of corn bread baked or fried (chiefly southern) ,GAP,
"cornpone, pone", cornbread often made without milk or eggs and baked or fried (southern) ,GAP,
"johnnycake, johnny_cake, journey_cake", cornbread usually cooked pancake-style on a griddle (chiefly New England) ,GAP,
"hush_puppy, hushpuppy", deep-fried cornbread ball (southern) ,GAP,
shawnee_cake, form of johnnycake ,GAP,
hoecake, thin usually unleavened johnnycake made of cornmeal; originally baked on the blade of a hoe over an open fire (southern) ,GAP,
skillet_corn_bread, cornbread usually containing ham or bacon bits and cooked in a skillet ,GAP,
date-nut_bread, bread containing chopped dates and nuts ,GAP,
"spoon_bread, batter_bread", soft bread made of cornmeal and sometimes rice or hominy; must be served with a spoon (chiefly southern) ,GAP,
date_bread, bread containing chopped dates ,GAP,
irish_soda_bread, round loaf made with soda and buttermilk; often containing caraway seeds and raisins ,GAP,
"muffin, gem", a sweet quick bread baked in a cup-shaped pan ,GAP,
bran_muffin, muffin containing bran ,GAP,
apricot, downy yellow to rosy-colored fruit resembling a small peach ,مشمش,"فاكهة صغيرة ذات لون أصفر أو برتقالي، موطنها الأصلي آسيا الوسطى. "
corn_muffin, cornbread muffin ,GAP,
"avocado, alligator_pear, avocado_pear, aguacate", a pear-shaped tropical fruit with green or blackish skin and rich yellowish pulp enclosing a single large seed ,أفوكادو,"فاكهة استوائية موطنها الأصلي المكسيك وأمريكا الوسطى.  فاكهة غنية بالدهون الصحية، وتحتوي على نسبة عالية من الألياف والفيتامينات والمعادن، مثل فيتامين K وفيتامين C وفيتامين E وفيتامين B6 والبوتاسيوم. كما أنها تحتوي على مضادات الأكسدة، والتي يمكن أن تساعد في حماية الجسم من الأمراض."
banana, elongated crescent-shaped yellow fruit with soft sweet flesh ,موز,ثمار سكرية لذيذة الطعم وهي فاكهة استوائية موطنها الأصلي جنوب شرق آسيا (شجر الموز ينبت في البلاد الحارة)
"barbados_gooseberry, blade_apple", small yellow to orange fruit of the Barbados gooseberry cactus used in desserts and preserves and jellies ,GAP,
blackberry, large sweet black or very dark purple edible aggregate fruit of any of various bushes of the genus Rubus ,توت أسود,"فاكهة صغيرة، لونها أسود أو بنفسجي غامق، حلوة وحامضة."
berry, any of numerous small and pulpy edible fruits; used as desserts or in making jams and jellies and preserves ,توت بري,"  نوع من الفاكهة الصغيرة ذات اللون الأزرق الداكن أو الأرجواني ، موطنه الأصلي أمريكا الشمالية."
"acerola, barbados_cherry, surinam_cherry, west_indian_cherry", acid red or yellow cherry-like fruit of a tropical American shrub very rich in vitamin C ,GAP,
blueberry, sweet edible dark-blue berries of either low-growing or high-growing blueberry plants ,توت أزرق,"فاكهة صغيرة مستديرة زرقاء اللون تنمو على الشجيرات، وتتميز بنكهة حلوة ومليئة بالعصارة."
boysenberry, large raspberry-flavored fruit; cross between blackberries and raspberries ,GAP,
gooseberry, currant-like berry used primarily in jams and jellies ,GAP,
black_currant, small black berries used in jams and jellies ,GAP,
cranberry, very tart red berry used for sauce or juice ,GAP,
red_currant, small red berries used primarily in jams and jellies ,GAP,
dewberry, blackberry-like fruits of any of several trailing blackberry bushes ,GAP,
huckleberry, blue-black berry similar to blueberries and bilberries of the eastern United States ,GAP,
"lingonberry, mountain_cranberry, cowberry, lowbush_cranberry", tart red berries similar to American cranberries but smaller ,GAP,
loganberry, large red variety of the dewberry ,GAP,
mulberry, sweet usually dark purple blackberry-like fruit of any of several mulberry trees of the genus Morus ,GAP,
persimmon, orange fruit resembling a plum; edible when fully ripe ,برسيمون أو فرسيمونا,فاكهة استوائية موطنها الأصلي شرق آسيا. 
raspberry, red or black edible aggregate berries usually smaller than the related blackberries ,عليق,ما يقدم للدابة من طعام
strawberry, sweet fleshy red fruit ,فراولة,"فاكهة حمراء زاهية اللون، تنمو على نباتات عشبية معمرة من الفصيلة الوردية. تعرف الفراولة أيضا باسم توت الأرض أو الشيلك."
"saskatoon, serviceberry, shadberry, juneberry", edible purple or red berries ,GAP,
"sugarberry, hackberry", small edible dark purple to black berry with large pits; southern United States ,GAP,
